Model;Manufacturer;Type;ArticleNumber;working load limit [ton];Weight shackle pin [kg];diameter body A [mm];diameter pin B [mm];diameter eye C [mm];width eye D [mm];width inside E [mm];length inside F [mm];width bow G [mm];length H [mm];length bolt I [mm];width J [mm];thickness nut K [mm];bearing surface L [mm];Net weight [kg];SafetyFactor;Subtype
GP0.75;GP;G-4163;GPGHMB08;0.75;;9;10;20;9;13.5;32;22;56;50;40;5;;0.11;6;
GP1;GP;G-4163;GPGHMB10;1;;10;11;23;10;17;37;26;64;60;46;8;;0.15;6;
GP1.5;GP;G-4163;GPGHMB11;1.5;;11;13;25;11;19;43;29;73;67;51;11;;0.22;6;
GP2;GP;G-4163;GPGHMB13;2;;13.5;16;34;13;22;51;32;90;80;59;13;;0.42;6;
GP3.25;GP;G-4163;GPGHMB16;3.25;;16;19;40;16;27;64;43;110;98;75;17;;0.74;6;
GP4.75;GP;G-4163;GPGHMB19;4.75;;19;22;46;19;31;76;51;129;115;89;19;;1.18;6;
GP6.5;GP;G-4163;GPGHMB22;6.5;;22;25;52;22;36;83;58;144;130;102;22;;1.77;6;
GP8.5;GP;G-4163;GPGHMB25;8.5;;25;28;59;25;43;95;68;164;150;118;25;;2.58;6;
GP9.5;GP;G-4163;GPGHMB28;9.5;;28;32;67;28;47;108;75;186;166;131;27;;3.66;6;
GP12;GP;G-4163;GPGHMB32;12;;32;35;73;32;51;115;83;201;184;147;30;;4.91;6;
GP13.5;GP;G-4163;GPGHMB35;13.5;;35;38;79;35;57;133;92;227;197;162;33;;6.54;6;
GP17;GP;G-4163;GPGHMB38;17;;38;42;88;38;60;146;99;249;202;175;19;;8.19;6;
GP25;GP;G-4163;GPGHMB45;25;;45;50;104;45;74;178;126;300;243;216;23;;14.00;6;
GP35;GP;G-4163;GPGHMB50;35;;50;57;112;50;83;197;138;332;269;238;26;;18.80;6;
GP42.5;GP;G-4163;GPGHMB57;42.5;;57;65;132;57;95;222;160;378;301;274;29;;28.30;6;
GP55;GP;G-4163;GPGHMB65;55;;65;70;145;65;105;260;180;433;329;310;32;;39.60;6;
GP85;GP;G-4163;GPGHMB75;85;;75;83;167;75;127;330;190;530;381;340;39;;62.00;6;
GPWB7;GP;P-6033;SLGPF0007;7;0.99;22;22;46;19;32;96;64;153;115;110;19;41;1.91;5;WideBody
GPWB12.5;GP;P-6033;SLGPF0012;12.5;1.82;28;28;61;25;44;120;82;197;151;146;24;54;4.13;5;WideBody
GPWB18;GP;P-6033;SLGPF0018;18;2.35;35;35;69;30;54;148;102;239;171;180;29;64;7.63;5;WideBody
GPWB30;GP;P-6033;SLGPF0030;30;4.23;40;42;90;35;69;165;126;279;207;200;34;79;12.40;5;WideBody
GPWB40;GP;P-6033;SLGPF0040;40;4.32;55;51;109;45;84;199;140;331;252;235;38;97;21.70;5;WideBody
GPWB55;GP;P-6033;SLGPF0055;55;4.6;60;57;115;55;90;240;160;389;294;270;45;100;29.30;5;WideBody
GPWB75;GP;P-6033;SLGPF0075;75;11.39;68;70;126;54;110;290;185;473;317;331;40;120;49.00;5;WideBody
GPWB125;GP;P-6033;SLGPF0125;125;18.59;85;80;156;85;137;366;220;583;413;390;40;150;88.00;5;WideBody
GPWB150;GP;P-6033;SLGPF0150;150;27.25;94;95;181;89;147;391;253;648;445;449;50;170;125.00;5;WideBody
GPWB200;GP;P-6033;SLGPF0200;200;36.87;110;105;201;100;158;481;280;759;480;500;50;205;190.00;5;WideBody
GPWB250;GP;P-6033;SLGPF0250;250;54.3;126;120;229;110;179;542;300;860;535;552;60;240;264.00;5;WideBody
GPWB300;GP;P-6033;SLGPF0300;300;79.4;136;134;246;134;195;601;350;946;590;620;70;265;380.00;5;WideBody
GPWB400;GP;P-6033;SLGPF0400;400;109.65;160;160;295;145;231;576;370;995;687;710;80;320;598.00;5;WideBody
GPWB500;GP;P-6033;SLGPF0500;500;152.78;170;180;330;160;263;681;450;1161;762;850;90;340;862.00;5;WideBody
GPWB600;GP;P-6033;SLGPF0600;600;204.79;190;200;360;170;289;741;490;1264;827;930;100;370;1134.00;5;WideBody
GPWB700;GP;P-6033;SLGPF0700;700;255.54;200;215;392;190;315;751;540;1284;879;901;100;400;1360.00;5;WideBody
GPWB800;GP;P-6033;SLGPF0800;800;310.72;218;230;420;200;342;851;554;1426;942;947;110;420;1418.00;5;WideBody
GPWB900;GP;P-6033;SLGPF0900;900;413.49;242;255;466;220;368;851;580;1488;1023;1023;120;440;1810.00;5;WideBody
GPWB1000;GP;P-6033;SLGPF1000;1000;500.56;260;270;490;240;399;851;614;1532;1103;1107;120;460;2970.00;5;WideBody
GPWB1250;GP;P-6033;SLGPF1250;1250;685.48;285;300;510;260;452;931;650;1666;1227;1182;150;530;3700.00;5;WideBody
GPWB1550;GP;P-6033;SLGPF1550;1550;833.42;285;320;550;280;483;950;680;1710;1300;1253;150;560;4000.00;5;WideBody
GP120;GP;P-6036;HDGPHM0120;120;28.12;95;95;204;95;147;400;238;644;453;428;50;;116;5;
GP150;GP;P-6036;HDGPHM0150;150;39.15;105;108;235;105;169;410;275;686;496;485;50;;161;5;
GP200;GP;P-6036;HDGPHM0200;200;69.15;120;130;270;120;179;513;290;833;564;530;71;;252;5;
GP250;GP;P-6036;HDGPHM0250;250;85.5;130;140;284;130;205;554;305;896;614;565;71;;317;5;
GP300;GP;P-6036;HDGPHM0300;300;102;140;150;308;140;205;618;305;987;644;585;81;;386;5;
GP400;GP;P-6036;HDGPHM0400;400;126.66;170;175;376;164;231;669;325;1115;698;665;70;;620;5;
GP500;GP;P-6036;HDGPHM0500;500;147.51;180;185;398;164;256;719;350;1191;728;710;70;;720;5;
GP600;GP;P-6036;HDGPHM0600;600;204.43;200;205;444;189;282;719;375;1244;810;775;70;;975;5;
GP700;GP;P-6036;HDGPHM0700;700;241.66;210;215;454;204;308;718;400;1263;870;820;70;;980;5;
GP800;GP;P-6036;HDGPHM0800;800;253.47;210;220;464;204;308;718;400;1270;870;820;70;;1100;5;
GP900;GP;P-6036;HDGPHM0900;900;292.09;220;230;485;215;328;718;420;1296;920;860;70;;1280;5;
GP1000;GP;P-6036;HDGPHM1000;1000;325.46;240;240;515;215;349;718;420;1336;940;900;70;;1460;5;
GP1250;GP;P-6036;HDGPHM1250;1250;449.98;260;270;585;230;369;768;450;1456;1025;970;70;;1990;5;
GP1500;GP;P-6036;HDGPHM1500;1500;519.27;280;290;625;230;369;818;450;1556;1025;1010;70;;2400;5;
